month	bview_file	size_bytes	status
1999-11	bview.19991101.2245.gz	2549759	OK
1999-12	bview.19991201.1040.gz	2669167	OK
2000-01	bview.20000101.0032.gz	2843959	OK
2000-02	bview.20000222.0045.gz	5474560	OK
2000-03	bview.20000306.0753.gz	5940552	OK
2000-04		0	MISSING
2000-05		0	MISSING
2000-06		0	MISSING
2000-07		0	MISSING
2000-08	bview.20000818.1012.gz	9014481	OK
2000-09	bview.20000901.0610.gz	9385854	OK
2000-10	bview.20001002.1746.gz	12389764	OK
2000-11	bview.20001101.0054.gz	9270756	OK
2000-12	bview.20001201.0508.gz	12576266	OK
2001-01	bview.20010101.0609.gz	12246134	OK
2001-02	bview.20010201.0706.gz	11703240	OK
2001-03	bview.20010301.0753.gz	12403110	OK
2001-04	bview.20010401.0050.gz	12438867	OK
2001-05	bview.20010501.0148.gz	11568262	OK
2001-06	bview.20010610.2346.gz	11898519	OK
2001-07	bview.20010701.0022.gz	11822438	OK
2001-08	bview.20010807.0502.gz	9165967	OK
2001-09	bview.20010901.0707.gz	11108316	OK
2001-10	bview.20011001.1557.gz	11314705	OK
2001-11	bview.20011101.0052.gz	11194249	OK
2001-12	bview.20011201.0044.gz	11748670	OK
2002-01	bview.20020101.0737.gz	12452053	OK
2002-02	bview.20020201.0032.gz	12204122	OK
2002-03	bview.20020301.0146.gz	12258659	OK
2002-04	bview.20020401.0513.gz	14031676	OK
2002-05	bview.20020501.0219.gz	12651538	OK
2002-06	bview.20020601.0247.gz	12457796	OK
2002-07	bview.20020701.0316.gz	12453372	OK
2002-08	bview.20020801.0346.gz	12436802	OK
2002-09	bview.20020901.0452.gz	12654203	OK
2002-10	bview.20021001.0700.gz	12489259	OK
2002-11	bview.20021101.0729.gz	10396601	OK
2002-12	bview.20021201.0000.gz	11832469	OK
2003-01	bview.20030101.0000.gz	12826057	OK
2003-02	bview.20030201.0000.gz	13855182	OK
2003-03	bview.20030301.0000.gz	13363721	OK
2003-04	bview.20030401.0000.gz	12888100	OK
2003-05	bview.20030501.0000.gz	12960200	OK
2003-06	bview.20030601.0000.gz	12998407	OK
2003-07	bview.20030701.0000.gz	12822049	OK
2003-08	bview.20030801.0000.gz	13272632	OK
2003-09	bview.20030901.0000.gz	13072667	OK
2003-10	bview.20031001.0000.gz	9091707	OK
2003-11	bview.20031101.0000.gz	9111044	OK
2003-12	bview.20031201.0000.gz	10568719	OK
2004-01	bview.20040101.0000.gz	12407057	OK
2004-02	bview.20040201.0000.gz	12429245	OK
2004-03	bview.20040301.0000.gz	12807031	OK
2004-04	bview.20040401.0000.gz	14150950	OK
2004-05	bview.20040501.0000.gz	13609779	OK
2004-06	bview.20040601.0000.gz	14480296	OK
2004-07	bview.20040701.0000.gz	13950558	OK
2004-08	bview.20040801.0000.gz	14648580	OK
2004-09	bview.20040901.1600.gz	14891922	OK
2004-10	bview.20041001.0000.gz	15315551	OK
2004-11	bview.20041101.0000.gz	15148392	OK
2004-12	bview.20041201.0000.gz	15161376	OK
2005-01	bview.20050101.0000.gz	15151681	OK
2005-02	bview.20050201.0000.gz	13769578	OK
