month	entries_total	path_malformed_or_empty	path_with_as_set	path_too_short	path_retained	nodes	edges
1999-11	403146	0	170	13035	389941	6045	10634
1999-12	418764	0	124	14065	404575	6254	10954
2000-01	441604	0	150	15614	425840	6419	11610
2000-02	768776	77	0	18523	750176	6911	13371
2000-03	823547	81	0	1655	821811	7021	13887
2000-08	997876	0	82	4725	993069	8444	16509
2000-09	1029498	0	95	4825	1024578	8588	16781
2000-10	1320759	0	125	5061	1315573	8871	17947
2000-11	1021087	0	108	4568	1016411	7882	15907
2000-12	1308356	0	195	4869	1303292	9494	19316
2001-01	1280677	0	84	5024	1275569	9765	19648
2001-02	1233536	0	78	5167	1228291	10052	20030
2001-03	1284104	0	79	5080	1278945	10369	20810
2001-04	1316289	0	93	4663	1311533	10706	21436
2001-05	1237498	0	89	4260	1233149	10971	21451
2001-06	1332048	0	104	4021	1327923	11255	22233
2001-07	1238343	0	115	3972	1234256	11421	22262
2001-08	1036939	0	170	3705	1033064	11662	22100
2001-09	1151921	0	124	4159	1147638	11804	22333
2001-10	1177299	0	83	4183	1173033	12043	22770
2001-11	1162484	0	69	4097	1158318	12206	22998
2001-12	1270294	0	108	4308	1265878	12381	23702
2002-01	1273785	0	41	4194	1269550	12483	23862
2002-02	1279703	0	89	4452	1275162	12637	24275
2002-03	1297554	0	63	4486	1293005	12806	24614
2002-04	1436584	0	56	4561	1431967	12989	25056
2002-05	1336075	0	526	4626	1330923	13161	25223
2002-06	1317245	0	545	4562	1312138	13307	25559
2002-07	1322697	0	571	4264	1317862	13457	25586
2002-08	1333112	0	71	4238	1328803	13602	25284
2002-09	1335560	0	69	4035	1331456	13739	25430
2002-10	1345533	0	116	4040	1341377	13934	25979
2002-11	1136027	0	93	2312	1133622	14113	25749
2002-12	1272927	0	146	2375	1270406	14277	26681
2003-01	1391504	0	173	4073	1387258	14443	27041
2003-02	1406317	0	282	3985	1402050	14656	27351
2003-03	1421380	0	286	3930	1417164	14853	27633
2003-04	1315817	1	253	2243	1313320	15015	27939
2003-05	1332001	0	370	2206	1329425	15211	28414
2003-06	1333267	1	321	2178	1330767	15370	28655
2003-07	1340964	0	366	2193	1338405	15525	28960
2003-08	1347635	0	400	2197	1345038	15720	29338
2003-09	1354141	0	445	2235	1351461	15851	29768
2003-10	994142	1	308	751	993082	15982	28719
2003-11	1014991	1	253	740	1013997	16215	29062
2003-12	1143422	1	290	763	1142368	16340	30072
2004-01	1276492	1	349	2210	1273932	16522	30696
2004-02	1284167	1	340	2187	1281639	16678	30943
2004-03	1303627	1	376	2198	1301052	16854	31484
2004-04	1456537	1	382	2463	1453691	17085	32202
2004-05	1471721	1	371	2496	1468853	17295	32831
2004-06	1527090	1	377	2482	1524230	17489	33093
2004-07	1538721	2	303	2449	1535967	17663	33472
2004-08	1558932	2	384	2413	1556133	17843	33765
2004-09	1582083	2	390	2405	1579286	18114	34420
2004-10	1607503	2	376	2405	1604720	18365	35236
2004-11	1621379	1	350	2447	1618581	18493	35175
2004-12	1642494	1	376	2418	1639699	18712	35609
2005-01	1672260	1	348	2430	1669481	18886	35886
2005-02	1534128	1	330	2436	1531361	19049	35782
2005-03	1395861	1	284	2199	1393377	19210	35734
2005-04	1415908	1	290	2230	1413387	19458	36173
2005-05	1433532	1	273	2228	1431030	19720	36685
2005-06	1456493	1	288	2230	1453974	19920	36986
2005-07	1472589	1	270	2234	1470084	20117	37629
2005-08	1327298	1	275	2213	1324809	20333	37515
2005-09	1342795	1	265	2240	1340289	20539	37942
2005-10	1360294	1	273	3314	1356706	20759	38544
2005-11	1374149	1	321	2209	1371618	20925	38618
2005-12	1391037	1	294	2128	1388614	21161	38742
2006-01	1401397	2	270	2108	1399017	21389	38891
2006-02	1243750	1	248	2100	1241401	21506	38219
2006-03	1259650	1	295	2107	1257247	21723	38854
2006-04	1643777	1	394	2241	1641141	22020	40946
2006-05	1850997	1	389	2232	1848375	22189	41685
2006-06	2056325	1	483	2243	2053598	22490	42501
2006-07	2081229	1	461	2277	2078490	22716	42878
2006-08	2109434	1	489	2252	2106692	22943	43423
2006-09	2138996	1	363	2275	2136357	23165	44011
2006-10	2162673	1	356	2309	2160007	23401	44722
2006-11	1997685	1	308	2320	1995056	23697	44683
2006-12	2030228	1	310	2348	2027569	24019	45763
2007-01	2044044	1	478	2322	2041243	24248	46098
