month	top20_asns_by_degree
1999-11	701,1239,3561,7018,1,2548,3549,2914,209,5409,6453,6347,5378,1740,702,6461,1755,5696,721,286
1999-12	701,1239,3561,7018,1,3549,2548,2914,209,5409,6461,6453,6347,5378,702,1740,3356,1755,721,5696
2000-01	701,1239,3561,1,7018,3549,2548,209,2914,6453,5409,6347,6461,5378,702,3356,1740,1755,721,5696
2000-02	701,1239,3561,7018,1,209,2914,3549,6461,2548,6453,6347,3356,1740,5409,702,5378,1755,2516,286
2000-03	701,1239,3561,7018,1,209,2914,6461,3549,3257,2548,6453,6347,3356,5378,1740,702,5409,1755,2516
2000-08	701,1239,3561,7018,209,1,2914,6461,3549,3257,2548,3356,6347,6453,702,2516,5378,1755,174,4766
2000-09	701,1239,7018,3561,209,1,2914,3549,6461,3257,3356,2548,6347,6453,702,2516,4766,1755,174,3786
2000-10	701,1239,3561,7018,1,209,3549,2914,3257,6461,3356,2548,6347,702,6453,5409,8210,9057,8918,4766
2000-11	701,1239,7018,3561,209,1,3549,2914,3257,6461,3356,6453,702,2548,6347,5409,8210,9057,174,2516
2000-12	701,1239,7018,3561,209,1,3549,6461,2914,3257,702,3356,6453,6347,2548,8210,9057,3967,174,2516
2001-01	701,1239,7018,3561,209,1,3549,2914,6461,3257,702,3356,6453,6347,2548,8210,9057,174,4766,2516
2001-02	701,1239,7018,3561,209,1,3549,2914,3257,6461,702,3356,6453,6347,2548,8210,9057,174,4766,3967
2001-03	701,1239,7018,3561,209,1,3549,2914,6461,3257,3356,702,6347,6453,2548,8210,9057,174,2516,4766
2001-04	701,1239,7018,3561,209,1,3549,2914,6461,3257,3356,702,6347,6453,2548,8210,9057,6667,174,4766
2001-05	701,1239,7018,3561,209,1,3549,2914,6461,702,3257,3356,6347,6453,9057,2548,8210,174,4766,3967
2001-06	701,1239,7018,3561,209,1,3549,2914,702,6461,3356,3257,6347,6453,9057,8210,2548,6667,4766,174
2001-07	701,1239,7018,3561,209,1,3549,2914,702,6461,3356,3257,6347,9057,6453,8210,2548,4766,174,2516
2001-08	701,1239,7018,3561,209,1,3549,2914,702,3356,3257,6461,6347,9057,6453,8210,2548,2516,174,4766
2001-09	701,1239,7018,3561,209,1,3549,2914,702,3356,3257,6461,6347,9057,8210,6453,2548,2516,174,8297
2001-10	701,1239,7018,3561,209,1,3549,702,2914,6461,3356,3257,6347,9057,6453,8210,2548,4766,2516,8297
2001-11	701,1239,7018,3561,209,702,3549,1,2914,6461,3257,3356,6347,9057,6453,8210,4766,2516,8297,2548
2001-12	701,1239,7018,3561,209,702,1,3549,2914,6461,3257,3356,9057,6347,6453,8210,8297,4766,2516,2548
2002-01	701,1239,7018,3561,209,702,3549,1,2914,6461,3257,3356,8210,9057,6453,6347,8297,4766,2516,2548
2002-02	701,1239,7018,3561,209,702,3549,1,6461,2914,3257,3356,6347,8210,6453,9057,8297,2516,4766,8918
2002-03	701,1239,7018,3561,209,702,3549,1,2914,6461,3257,3356,6347,9057,8210,6453,8297,2516,4766,3908
