month	nodes	edges	mean_k	lcc_frac	alpha	xmin	sigma	R_ln	p_ln	mu_knn	modularity	n_comm	prev_month	new_nodes	lost_nodes	node_jaccard	new_edges	lost_edges	edge_jaccard	hub20_overlap
1999-11	6045	10634	3.51828	1	2.10132	5	0.0477934	-0.481496	0.630164	-0.52867	0.658718	33		nan	nan	nan	nan	nan	nan	nan
1999-12	6254	10954	3.50304	1	2.07032	5	0.0464917	-0.715705	0.474174	-0.504127	0.663708	32	1999-11	283	74	0.943584	1214	894	0.82208	0.95
2000-01	6419	11610	3.61739	1	2.21175	19	0.105072	-0.124618	0.900826	-0.528981	0.655515	31	1999-12	299	134	0.933923	1454	798	0.818504	1
2000-02	6911	13371	3.86948	1	2.10749	9	0.0596254	-0.442134	0.658392	-0.528132	0.644964	33	2000-01	604	112	0.898049	2785	1024	0.735394	0.9
2000-03	7021	13887	3.95585	1	2.07426	9	0.0575866	-0.668309	0.503936	-0.51371	0.633258	30	2000-02	175	65	0.96613	1105	589	0.882979	0.95
2000-08	8444	16509	3.91023	1	2.08519	6	0.0430305	-0.360009	0.71884	-0.53802	0.647781	33	2000-03	1719	296	0.769451	5431	2809	0.573455	0.9
2000-09	8588	16781	3.90801	1	2.12981	5	0.0391455	-1.50898	0.131303	-0.536029	0.645669	29	2000-08	205	61	0.969245	933	661	0.908611	0.95
2000-10	8871	17947	4.04622	1	2.11941	5	0.037231	-0.55283	0.58038	-0.517483	0.647001	29	2000-09	389	106	0.944859	2207	1041	0.828945	0.8
2000-11	7882	15907	4.03629	1	2.10016	10	0.0595771	-0.187368	0.851372	-0.536779	0.635066	36	2000-10	318	1307	0.823158	1363	3403	0.753185	0.9
2000-12	9494	19316	4.0691	1	2.08573	10	0.0533609	-0.365408	0.714807	-0.53525	0.641654	31	2000-11	1745	133	0.804924	4383	974	0.735978	0.95
2001-01	9765	19648	4.02417	1	2.10083	9	0.050616	-0.196167	0.84448	-0.536666	0.646014	29	2000-12	416	145	0.943391	1864	1532	0.83966	0.95
2001-02	10052	20030	3.98528	1	2.1027	6	0.03961	-0.221543	0.824669	-0.540695	0.649675	30	2001-01	452	165	0.93961	1920	1538	0.83967	0.95
2001-03	10369	20810	4.01389	1	2.11228	5	0.0349642	-0.831318	0.405794	-0.526401	0.649434	37	2001-02	477	160	0.9395	2215	1435	0.835918	0.95
2001-04	10706	21436	4.00448	1	2.09565	6	0.0383555	-0.232394	0.816232	-0.534181	0.651668	35	2001-03	499	162	0.939179	2159	1533	0.839262	0.95
2001-05	10971	21451	3.91049	1	2.10981	5	0.0349039	-0.258792	0.795796	-0.539519	0.655185	41	2001-04	421	156	0.948144	1895	1880	0.838198	0.95
2001-06	11255	22233	3.95078	1	2.12223	5	0.0343719	-0.503455	0.614644	-0.543044	0.656441	34	2001-05	562	278	0.927166	2703	1921	0.808562	0.95
2001-07	11421	22262	3.89843	1	2.13158	5	0.0348221	-0.724783	0.468585	-0.535575	0.657452	37	2001-06	315	149	0.959896	1631	1602	0.864524	0.95
2001-08	11662	22100	3.79009	1	2.14234	5	0.0355251	-0.959663	0.337225	-0.552698	0.660704	41	2001-07	479	238	0.939748	1911	2073	0.835188	1
2001-09	11804	22333	3.78397	1	2.13139	5	0.0352188	-0.79905	0.424261	-0.525855	0.661768	37	2001-08	350	208	0.953546	1716	1483	0.865679	0.95
2001-10	12043	22770	3.78145	1	2.11652	5	0.0347389	-0.214735	0.829974	-0.534616	0.665908	34	2001-09	432	193	0.948921	2003	1566	0.853345	0.95
2001-11	12206	22998	3.76831	1	2.08477	6	0.0380915	-0.294147	0.768646	-0.519493	0.665334	35	2001-10	444	281	0.94194	2072	1844	0.842364	1
2001-12	12381	23702	3.82877	1	2.1003	6	0.0378963	-0.279201	0.780091	-0.527625	0.663126	36	2001-11	429	254	0.945944	2394	1690	0.839162	1
2002-01	12483	23862	3.82312	1	2.12446	5	0.0341374	-0.720732	0.471074	-0.526218	0.66331	34	2001-12	321	219	0.957487	1798	1638	0.865255	1
2002-02	12637	24275	3.84189	1	2.10316	6	0.0375521	-0.515588	0.606142	-0.536478	0.660628	38	2002-01	366	212	0.955016	1907	1494	0.86802	0.95
2002-03	12806	24614	3.84414	1	2.10132	6	0.0371677	-0.348008	0.727834	-0.540949	0.662169	40	2002-02	351	182	0.958962	1828	1489	0.872926	0.95
2002-04	12989	25056	3.85803	1	2.1059	6	0.0370698	0.336305	0.736641	-0.524454	0.662005	38	2002-03	351	168	0.960553	2265	1823	0.847911	0.95
2002-05	13161	25223	3.83299	1	2.11417	6	0.0371184	0.27493	0.78337	-0.545751	0.660276	48	2002-04	394	222	0.953971	1838	1671	0.869525	0.95
2002-06	13307	25559	3.84144	1	2.14182	5	0.0332677	-1.1534	0.248745	-0.550643	0.662888	39	2002-05	328	182	0.962191	1932	1596	0.870079	0.95
2002-07	13457	25586	3.80263	1	2.12933	5	0.0330872	-0.648101	0.51692	-0.533555	0.664891	41	2002-06	336	186	0.961739	1878	1851	0.864089	0.9
2002-08	13602	25284	3.71769	1	2.11925	5	0.0332957	-1.25764	0.208524	-0.529291	0.672282	36	2002-07	355	210	0.959094	2075	2377	0.839051	0.9
2002-09	13739	25430	3.70187	1	2.10848	6	0.037073	-0.164189	0.869582	-0.53987	0.666755	40	2002-08	330	193	0.962461	2087	1941	0.852837	0.95
2002-10	13934	25979	3.72886	1	2.12299	6	0.0369438	-0.46842	0.639484	-0.529545	0.666471	36	2002-09	368	173	0.96165	2051	1502	0.870711	0.95
2002-11	14113	25749	3.64898	1	2.1352	5	0.0333884	-0.359301	0.71937	-0.53661	0.672633	39	2002-10	355	176	0.962839	1802	2032	0.861992	0.95
