node_from,node_to,weight
19,930,2
20,303,1
41,468,1
85,1221,1
92,188,1
131,1078,1
167,609,1
183,1348,1
259,613,1
293,1386,1
247,296,1
345,355,1
379,658,1
405,1382,1
425,1326,1
483,604,1
514,1283,1
527,1018,1
532,1472,1
540,1429,1
549,1230,1
587,893,2
560,610,1
624,874,1
706,1234,1
106,722,1
556,736,1
741,894,1
771,1138,1
361,781,1
423,783,1
582,806,1
823,1136,1
566,841,1
139,854,1
858,1460,1
561,876,1
896,956,1
583,917,1
936,1087,1
971,1137,1
259,982,1
196,995,1
456,1008,1
128,1044,1
1098,1316,2
1142,1430,1
180,1162,2
436,1205,1
1228,1429,2
896,1249,1
641,1257,1
239,1295,1
584,1303,1
515,1355,1
771,1378,2
975,1430,2
664,1442,1
318,1448,1
705,1472,1
898,1478,1
635,1495,1
69,542,1
81,796,1
109,534,1
113,616,1
155,1177,1
184,1014,1
199,1107,1
211,341,1
28,224,1
245,1258,1
259,912,1
296,1069,1
327,384,1
262,345,2
366,548,1
375,471,1
55,379,1
393,504,1
420,926,1
434,1395,1
466,1440,1
503,684,1
587,1383,1
592,924,2
699,1149,1
729,1396,1
783,1307,1
594,800,1
485,806,1
825,1419,1
861,1380,1
438,879,1
626,880,1
19,885,1
897,1122,1
153,936,1
1021,1175,1
1023,1038,1
656,1035,1
571,1062,1
1069,1416,1
1082,1250,1
1122,1254,1
799,1174,1
1165,1188,1
1028,1203,1
1215,1362,1
528,1223,1
753,1228,2
880,1260,1
172,1271,1
1047,1323,1
82,1328,1
565,1371,1
712,1378,1
736,1404,2
1002,1430,1
1265,1442,1
148,1456,1
1393,1464,1
628,1478,1
25,525,1
62,637,1
84,914,1
111,315,1
169,365,1
202,511,1
26,239,1
293,1258,1
295,1141,2
312,786,1
345,1140,2
375,1034,1
398,1096,1
412,500,1
489,870,1
8,529,1
586,986,1
190,592,1
600,1077,1
613,1071,1
622,797,1
413,664,1
668,987,1
397,689,1
336,786,1
787,1017,1
799,801,1
242,800,1
821,942,1
842,1144,1
850,853,1
536,879,1
385,904,1
124,929,1
190,957,1
961,1244,1
981,1022,2
1038,1158,1
168,1041,1
930,1064,1
1093,1191,1
271,1112,1
273,1146,1
956,1170,1
1157,1189,1
1202,1364,1
533,1214,1
412,1223,2
1228,1351,2
841,1234,1
338,1274,1
130,1295,1
236,1308,1
1354,1449,1
1012,1375,1
1153,1383,1
1160,1390,1
884,1442,1
524,1458,1
382,1464,1
17,707,1
19,638,1
29,221,1
38,165,1
58,1021,1
81,712,2
124,818,1
151,1136,1
169,1114,1
132,184,1
214,621,1
216,776,1
218,385,1
289,826,1
295,1197,1
296,1061,1
302,327,1
320,952,1
90,324,1
275,345,2
347,552,1
360,789,1
373,676,1
354,376,1
313,478,1
483,492,1
563,1433,1
587,642,1
347,645,1
731,949,1
182,741,1
104,748,2
795,992,1
22,810,1
214,833,1
431,857,1
419,897,1
902,907,1
620,907,1
929,937,1
410,943,1
314,949,1
957,980,1
132,979,1
210,1062,1
739,1079,1
966,1089,1
765,1098,1
173,1103,1
1118,1345,2
870,1189,1
891,1223,2
1228,1468,2
1083,1229,1
1180,1233,1
166,1303,1
1307,1419,1
1341,1367,1
819,1375,1
858,1378,1
237,1380,1
452,1425,1
555,1442,2
681,1470,1
1164,1478,1
1300,1486,1
197,1491,1
846,1499,1
16,996,1
17,569,1
19,531,1
104,1452,1
116,991,1
136,1048,2
145,1328,1
149,725,1
154,253,1
155,1052,1
177,601,1
198,1428,1
216,1460,1
262,582,1
273,1295,1
295,1100,1
369,586,1
440,1005,1
446,543,2
460,1243,1
464,1223,1
483,1426,1
126,521,1
540,1070,1
178,583,1
587,1242,1
629,856,1
641,729,1
677,852,1
