node_from,node_to,weight
0,4,28
8,17,27
0,20,26
38,49,21
30,58,25
39,61,22
88,95,29
8,99,22
29,119,26
39,213,28
236,280,25
281,282,27
180,299,30
5,308,21
0,325,26
27,341,27
18,375,23
385,434,27
16,440,28
72,443,26
27,444,29
102,454,26
221,463,30
351,478,22
190,483,21
471,507,26
432,519,34
13,521,22
363,549,27
346,569,21
14,605,24
99,619,23
349,634,30
53,673,19
156,695,32
607,736,18
593,761,23
285,775,16
351,781,16
6,794,16
210,797,23
0,817,34
205,835,26
594,843,16
727,846,20
752,881,29
190,882,33
376,898,24
686,919,31
12,941,19
92,994,27
10,996,27
373,1017,25
0,1026,29
89,1027,32
835,1049,31
909,1063,27
799,1104,21
152,1119,27
48,1137,21
201,1142,27
33,1163,25
888,1172,24
62,1180,23
805,1189,27
661,1199,22
17,1255,29
208,1265,26
1218,1273,23
565,1319,35
131,1322,24
492,1327,30
283,1337,21
804,1376,27
552,1380,22
677,1399,25
225,1403,26
996,1472,21
791,1473,20
77,1487,27
339,1499,22
11,30,22
41,51,22
2,53,30
19,59,21
12,73,24
41,118,28
4,124,30
8,130,30
63,141,25
110,148,24
42,197,15
34,201,25
26,208,29
61,215,23
104,228,22
0,235,21
2,251,28
247,268,21
221,270,28
82,272,21
124,333,39
308,368,24
23,383,25
2,431,21
214,449,30
373,460,29
122,461,30
396,463,27
156,467,28
417,473,24
92,529,25
132,530,14
242,537,19
0,551,21
267,553,24
47,557,17
0,579,25
429,600,26
2,605,17
61,612,34
146,617,25
221,620,21
190,626,23
161,648,27
450,680,15
182,682,28
54,704,23
264,715,26
291,750,26
101,776,24
557,796,20
323,796,25
79,815,24
383,826,22
36,867,31
423,885,29
0,903,17
7,930,29
532,940,16
298,942,31
27,959,26
714,983,23
90,1023,30
248,1048,31
71,1062,40
357,1068,31
1078,1090,27
822,1095,32
8,1113,20
106,1116,26
161,1118,17
76,1177,21
627,1183,20
20,1194,28
1143,1205,23
565,1236,21
113,1238,30
914,1248,25
634,1263,31
302,1264,33
529,1295,23
44,1304,28
36,1316,22
530,1324,17
2,1325,21
707,1328,20
1065,1340,25
124,1369,26
237,1370,21
13,1374,25
142,1385,21
303,1388,26
11,1401,25
478,1421,22
55,1431,21
1141,1461,20
1143,1462,23
31,1475,27
49,1479,40
32,36,21
1,65,23
15,69,21
73,79,24
78,112,24
53,126,20
50,157,24
42,159,32
11,161,30
140,195,29
55,209,28
200,212,18
79,230,31
110,238,23
268,289,22
160,332,20
192,347,25
188,373,30
187,416,27
63,424,24
90,448,25
236,499,28
34,515,33
73,535,25
267,540,18
1,540,27
94,595,33
643,661,18
362,667,33
162,702,22
120,734,31
402,740,24
16,785,24
706,793,24
774,800,20
47,861,31
822,875,22
822,885,31
872,894,32
660,912,29
728,916,20
110,925,24
113,929,19
7,948,15
54,954,30
2,970,32
816,1002,19
166,1037,24
349,1040,19
982,1047,24
158,1054,28
1071,1078,21
1093,1099,27
54,1109,34
32,1132,22
20,1138,24
244,1156,21
587,1169,21
159,1178,22
110,1188,22
289,1195,28
1059,1201,24
168,1209,27
193,1216,34
0,1234,24
183,1246,25
164,1277,27
19,1283,20
24,1290,22
389,1292,23
714,1331,30
700,1337,23
376,1345,22
2,1348,35
11,1366,24
257,1368,28
671,1390,32
389,1437,32
272,1491,21
798,1492,25
308,1498,29
41,62,37
15,92,21
23,95,25
53,122,27
29,127,18
45,129,26
6,170,18
17,191,25
2,203,26
73,249,28
99,254,30
29,264,18
10,275,22
207,278,25
174,294,25
63,302,19
255,311,27
299,316,23
82,320,28
70,341,21
2,366,30
329,370,36
0,394,30
370,430,31
32,439,23
21,461,26
214,474,32
389,504,13
128,537,22
497,554,20
2,565,26
44,570,18
162,587,22
86,614,30
196,625,17
27,646,24
88,714,28
236,747,30
703,753,28
355,754,30
250,758,19
2,759,26
524,789,23
481,809,19
12,847,29
84,853,27
559,874,17
696,879,23
7,992,23
327,997,26
137,1009,24
635,1041,25
828,1045,29
456,1050,19
922,1060,21
558,1096,22
773,1105,22
5,1116,21
159,1124,22
138,1134,34
339,1219,21
605,1237,26
1092,1242,21
910,1244,28
104,1293,29
739,1298,22
853,1305,22
1,1332,24
1223,1361,13
63,1386,25
1220,1397,24
76,1431,22
113,1445,22
1208,1486,23
2,18,30
11,67,30
56,70,26
19,75,27
86,96,23
2,103,23
8,111,21
4,113,27
16,137,20
17,150,22
2,151,25
162,166,20
112,169,22
97,174,27
3,175,32
114,192,31
11,193,30
56,208,25
74,221,25
95,233,24
93,288,21
14,303,34
260,306,27
146,317,21
34,350,24
355,401,29
263,403,34
383,532,33
0,559,24
0,623,23
24,669,22
41,719,40
27,728,25
583,748,28
113,792,24
460,831,27
349,840,36
359,859,26
146,868,24
55,904,31
59,926,28
814,952,26
703,954,23
8,963,20
768,963,28
540,974,19
602,982,16
753,991,20
897,1000,29
65,1020,20
260,1063,21
280,1077,28
589,1093,28
166,1107,17
936,1118,26
555,1180,22
775,1185,22
6,1202,19
894,1220,39
30,1221,31
467,1231,18
312,1233,22
1257,1354,30
19,1392,23
131,1434,21
102,1459,28
1,8,28
12,16,26
0,19,30
7,45,26
51,61,31
7,99,26
6,110,20
44,115,17
34,125,15
146,155,27
55,165,19
124,178,27
160,182,30
32,224,22
16,246,20
138,256,22
31,257,25
10,267,27
255,286,24
42,315,27
253,327,19
299,331,38
2,334,22
324,347,20
349,377,22
90,380,21
173,391,26
366,398,28
94,400,32
128,413,24
162,420,25
419,425,22
188,441,32
164,448,29
321,476,21
101,477,21
362,485,29
225,487,24
317,493,24
461,503,41
87,510,24
56,580,21
470,616,26
44,630,25
175,642,26
161,662,27
319,663,21
210,667,24
318,678,33
356,754,28
333,782,34
159,862,22
1,869,28
797,874,24
64,924,18
153,933,22
385,945,28
563,947,18
160,987,27
358,1013,26
78,1024,34
131,1030,29
568,1069,23
192,1070,28
1066,1084,24
697,1102,19
124,1138,19
92,1145,20
218,1149,29
60,1157,23
92,1162,22
581,1170,22
6,1176,24
648,1192,22
565,1205,18
620,1218,24
70,1245,25
164,1254,18
349,1271,29
491,1286,32
366,1349,32
884,1357,27
185,1362,21
1340,1367,18
818,1408,23
164,1487,26
7,9,21
2,22,31
19,39,28
2,71,20
94,96,21
6,106,25
3,116,24
39,132,31
59,189,30
172,194,20
10,202,27
146,244,32
160,250,23
26,252,28
133,257,23
34,280,20
27,287,30
107,292,25
312,328,29
10,337,18
186,338,28
349,365,30
82,367,25
43,441,25
92,480,32
158,502,21
97,541,20
2,571,28
193,576,24
429,606,22
347,619,25
200,640,20
93,645,23
416,672,36
12,679,21
13,691,24
423,720,25
737,769,24
0,803,21
723,814,33
0,816,20
11,818,23
213,873,20
18,929,17
693,969,35
33,1014,21
188,1026,21
428,1046,27
160,1060,25
786,1081,22
410,1097,21
991,1117,20
29,1129,21
110,1171,27
444,1217,23
77,1224,34
643,1283,19
548,1307,26
27,1319,25
222,1333,22
142,1353,22
638,1364,25
308,1365,22
45,1370,30
152,1386,27
145,1416,23
63,1433,25
359,1475,33
1288,1484,30
1450,1494,27
2,45,17
18,48,22
6,55,23
7,72,26
12,77,27
8,77,31
54,90,30
52,143,20
4,168,25
43,176,33
4,194,25
48,195,28
147,199,25
2,202,26
2,205,31
1,227,22
8,236,30
16,288,25
2,296,17
50,298,20
39,299,27
45,336,28
320,344,20
213,355,26
230,372,31
327,389,27
414,433,28
31,440,28
247,489,22
147,492,22
33,517,23
