node_from,node_to,weight
107,108,39
25,51,26
25,107,59
25,108,65
51,108,12
51,107,46
14,25,1
23,25,5
23,107,8
23,108,5
23,35,1
25,35,3
23,51,1
35,51,2
25,86,5
51,86,23
86,107,16
86,108,3
24,25,1
24,51,2
24,107,2
24,108,1
25,34,2
25,62,9
34,51,4
51,60,12
60,62,2
62,108,2
34,64,2
51,64,2
51,90,5
5,25,2
11,103,8
25,61,2
11,51,2
51,73,4
60,108,2
25,73,4
34,73,7
61,73,23
25,103,5
23,60,8
23,64,6
24,61,62
25,44,4
25,63,2
25,42,4
42,51,2
44,51,2
38,51,1
51,63,2
62,64,1
24,73,32
11,86,2
90,108,3
90,103,8
64,108,2
2,8,57
2,25,1
2,51,2
2,96,2
2,97,1
5,60,3
8,25,2
8,51,7
8,97,1
18,25,1
25,96,3
25,97,1
18,51,1
51,97,6
22,96,2
51,96,2
22,51,3
23,38,1
25,82,7
25,32,1
32,51,3
51,82,6
62,82,1
24,86,1
60,86,10
51,91,3
18,64,1
18,91,1
25,49,2
33,51,1
35,39,1
25,39,8
39,51,2
49,51,1
25,84,2
51,84,3
23,86,2
25,89,3
51,89,4
64,89,66
86,90,4
25,91,1
25,101,4
51,101,2
11,108,1
18,107,15
25,29,2
29,51,3
25,78,1
49,78,1
51,78,2
86,91,1
86,97,2
86,103,5
25,88,5
88,111,2
25,106,1
51,106,2
107,111,2
49,108,3
7,51,1
21,51,2
21,105,19
21,107,3
21,111,34
25,40,9
25,99,6
25,105,8
61,64,8
73,89,14
73,96,1
32,86,4
61,86,2
86,105,20
86,112,3
51,88,1
88,107,1
62,89,1
35,90,1
61,90,2
62,90,1
61,96,5
61,97,3
51,98,18
51,105,6
105,107,2
105,111,45
105,112,5
51,109,1
25,110,8
51,110,1
51,112,4
61,112,6
62,112,1
5,96,1
13,25,3
13,32,1
13,51,1
25,81,6
32,58,4
25,58,2
51,58,1
58,69,80
51,79,3
79,86,2
89,105,2
51,99,1
99,109,47
13,61,2
18,60,9
21,60,4
21,90,7
25,94,1
32,64,2
51,61,2
60,61,3
69,86,1
64,81,3
86,111,2
60,90,26
90,107,17
90,112,3
97,99,22
98,101,1
38,101,1
108,110,2
14,96,13
14,106,1
15,25,1
35,58,2
40,62,31
35,69,3
69,106,31
14,73,1
73,99,3
105,108,2
25,45,2
25,56,1
32,81,1
60,73,2
73,107,5
15,82,1
56,86,3
86,89,2
86,98,8
89,107,5
33,91,1
56,97,1
35,107,3
45,107,2
60,107,91
107,112,20
24,96,5
25,52,1
32,107,9
39,105,2
45,60,1
52,53,27
25,76,2
42,78,3
79,91,6
25,83,4
44,86,2
96,106,2
40,107,5
2,86,1
5,40,1
8,86,2
12,51,29
12,86,12
15,24,1
15,89,1
24,40,1
25,104,2
51,111,1
53,111,1
56,110,1
25,74,1
11,78,1
79,101,7
53,86,4
89,106,2
103,107,7
103,111,3
51,104,1
53,110,2
12,98,15
12,111,1
25,57,1
34,107,3
69,76,2
33,76,1
51,83,13
83,86,9
98,111,2
57,105,38
106,107,2
106,108,1
39,110,1
25,100,6
25,102,8
74,79,1
100,108,1
102,108,1
81,107,5
86,87,2
86,100,2
86,102,1
25,87,5
81,102,5
60,74,5
79,81,4
81,86,9
81,89,1
89,98,2
23,84,2
23,110,7
25,59,1
31,107,3
74,90,1
88,103,2
52,110,8
52,107,6
26,108,1
56,60,1
11,29,1
11,58,2
29,58,4
29,111,1
35,94,2
35,111,1
76,111,3
44,78,2
