# source, target, time
0,111,35300
0,111,35320
0,47,36540
0,47,36580
0,47,37600
0,47,38080
0,47,38100
0,47,39080
0,47,39100
0,47,39280
0,47,39300
0,47,39340
0,47,39420
0,47,39580
0,47,40220
0,47,40280
0,47,42380
0,47,42420
0,47,42560
0,47,53380
0,105,96840
0,32,96880
0,2,96940
0,58,97120
0,93,97140
0,57,97140
0,85,97300
0,3,97400
0,54,100900
0,51,100900
0,8,101080
0,107,101180
0,20,101360
0,47,101640
0,27,101720
0,47,101840
0,27,102100
0,27,102720
0,27,102740
0,27,102760
0,47,103840
0,93,103840
0,47,103860
0,58,103860
0,47,103900
0,47,106440
0,47,106480
0,47,107460
0,47,107480
0,47,117460
0,8,119220
0,8,119320
0,8,120100
0,8,120220
0,8,120240
0,8,120260
0,8,120340
0,8,120360
0,8,120380
0,8,120400
0,8,120420
0,47,130080
0,48,175200
0,47,175260
0,47,175300
0,47,175320
0,47,175360
0,47,175420
0,47,175480
0,47,175500
0,47,175520
0,47,175560
0,47,175620
0,47,175640
0,47,175660
0,47,175680
0,47,175700
0,47,175720
0,47,175740
0,47,175760
0,47,175780
0,47,175800
0,47,175820
0,47,175840
0,47,175860
0,47,175920
0,47,175940
0,47,175960
0,47,176160
0,47,176180
0,47,176200
0,47,176220
0,58,181640
0,47,181660
0,19,186000
0,19,186020
0,19,186040
0,88,186680
0,97,187060
0,24,187060
0,27,194400
0,25,197500
0,25,197520
0,99,197740
0,25,197840
0,27,197860
0,25,198040
0,25,200780
0,25,202040
0,99,202040
0,25,202060
0,25,203280
0,25,203300
0,99,203300
0,27,203360
0,27,203380
0,47,203400
0,47,203480
0,3,203560
0,47,203620
0,27,203620
0,22,204540
0,47,208500
0,47,208520
0,47,208540
0,47,208560
0,47,208580
0,47,208600
0,47,208620
0,47,208780
0,47,209840
0,47,209860
0,47,209880
0,47,209900
0,47,209920
0,24,209960
0,76,209960
0,92,209980
0,71,210240
0,47,210320
0,47,210340
0,19,210460
0,47,210560
0,47,210660
0,27,211500
0,99,211500
0,19,211520
0,99,211520
0,92,211540
0,39,211600
0,99,211600
1,26,98580
1,26,98600
1,26,98620
1,109,105000
1,60,105020
1,60,105040
1,87,105040
1,87,105060
1,60,105080
1,87,105080
1,60,105100
1,87,105100
1,60,105120
1,60,105140
1,55,105140
1,55,105160
1,87,105160
1,60,105180
1,60,105240
1,60,105380
1,87,105380
1,60,105400
1,87,105400
1,60,105420
1,87,105420
1,60,105440
1,87,105440
1,60,105460
1,87,105460
1,60,105480
1,87,105480
1,60,105500
1,87,105500
1,60,105520
1,87,105520
1,60,105540
1,87,105540
1,60,105560
1,87,105560
1,60,105580
1,87,105580
1,60,105600
1,87,105600
1,60,105640
1,60,105660
1,60,105680
1,60,105700
1,60,105720
1,60,105740
1,60,105760
1,60,105780
1,60,105800
1,60,105820
1,60,105840
1,60,105860
1,60,105880
1,60,105900
1,60,105920
1,60,105940
1,60,105960
1,60,105980
1,60,106000
1,60,106020
1,60,106040
1,60,106080
1,60,106100
1,60,106120
1,60,106140
1,60,106160
1,60,106180
1,60,106200
1,60,106220
1,60,106240
1,60,106260
1,60,106280
1,60,106300
1,60,106320
1,60,106340
1,60,106360
1,60,106380
1,60,106440
1,71,106600
1,71,106620
1,71,106640
1,71,106660
1,71,106680
1,71,106720
1,71,106780
1,112,106820
1,112,106840
1,66,106840
1,112,106860
1,112,106880
1,66,106880
1,112,106900
1,63,106900
1,112,106940
1,112,106960
1,112,106980
1,112,107000
1,63,107020
1,63,107040
1,63,107080
1,63,107120
1,112,107160
1,63,107160
1,66,107200
1,63,107240
1,66,107240
1,66,107280
1,16,107360
1,66,107360
1,66,107400
1,66,107840
1,66,108320
1,66,108340
1,66,108360
1,58,108420
1,66,108480
1,112,108500
1,66,108500
1,112,108520
1,112,108540
1,66,108540
1,112,108560
1,66,108560
1,112,108580
1,112,108600
1,112,108620
1,112,108660
1,112,108680
1,66,108680
1,112,108700
1,112,109060
1,112,109080
1,112,109100
1,112,109300
1,112,109460
1,112,110120
1,112,110560
1,112,110600
1,112,110640
1,112,110660
1,112,110680
1,112,110700
1,58,110700
1,112,110720
1,112,110740
1,112,110760
1,112,111160
1,112,111500
1,112,111520
1,112,111540
1,112,117160
1,112,117180
1,112,117240
1,112,117560
1,112,117580
1,112,117600
1,81,117880
1,81,118060
1,20,119420
1,20,119580
1,20,119600
1,20,119640
1,66,120800
1,66,120960
1,88,123380
1,58,123400
1,88,123480
1,88,123500
1,88,123520
1,88,123560
1,112,123640
1,112,123660
1,112,123700
1,112,123720
1,112,123740
1,112,123760
1,112,123780
1,112,123820
1,112,123860
1,16,123860
1,112,123880
1,60,123960
1,112,123980
1,112,124100
1,112,124120
1,112,124140
1,112,124160
1,61,124480
1,112,124500
1,52,124500
1,61,124500
1,112,124520
1,112,124540
1,52,124540
1,112,124560
1,52,124640
1,112,124660
1,52,124800
1,52,124980
1,66,125120
1,66,125140
1,66,125160
1,66,125300
1,94,125300
1,66,125320
1,94,125320
1,94,125340
1,66,125360
1,66,125400
1,94,125420
1,66,125440
1,66,125460
1,19,125480
1,19,125500
1,66,125500
1,19,125520
1,66,125580
1,66,125620
1,66,125660
1,66,125680
1,66,125700
1,66,125720
1,76,125920
1,76,125940
1,76,125960
1,76,125980
1,76,126000
1,103,126240
1,103,126260
1,103,126280
1,103,126300
1,103,126320
1,103,126340
1,103,126360
1,103,126380
1,103,126400
1,103,126420
1,103,126440
1,103,126460
1,103,126480
1,103,126500
1,103,126520
1,103,126540
1,103,126560
1,103,126580
1,103,126600
1,103,126620
1,103,126640
1,103,126660
1,103,126680
1,103,126700
1,103,126720
1,110,126720
1,103,126760
1,57,126760
1,103,126780
1,103,126800
1,103,126820
1,103,126840
1,103,126860
1,103,126900
1,103,126920
1,103,126940
1,103,126980
1,103,127000
1,103,127020
1,103,127060
1,103,127080
1,103,127100
1,112,127120
1,103,127160
1,103,127180
1,103,127200
1,103,127220
1,84,187080
1,51,187120
1,112,187160
1,66,187340
1,66,187360
1,66,187380
1,66,187400
1,66,187420
1,66,191220
1,46,194860
1,90,194980
1,66,197580
1,66,197600
1,66,197700
1,66,197780
1,66,197800
1,66,197820
1,66,197840
1,66,197860
1,66,197880
1,66,197900
1,23,203520
1,23,203540
1,23,203620
1,23,203640
1,23,203680
1,23,203720
1,23,203740
1,23,204000
1,23,204100
1,23,204120
1,23,204140
1,23,204160
1,23,204260
1,23,204280
1,23,204300
1,23,204320
1,23,204400
1,23,204420
1,23,204440
1,23,204460
1,23,204500
1,23,204540
1,23,204560
1,23,204580
1,23,204620
1,23,204700
1,23,204720
1,23,204740
1,23,204800
1,23,204820
1,23,205240
1,23,205260
1,23,205400
1,23,205460
1,23,205540
1,23,205560
1,23,205580
1,23,205600
1,23,205620
2,25,5880
2,25,5920
2,25,5940
2,96,5960
2,96,5980
2,51,5980
2,97,6000
2,8,6000
2,8,8020
2,8,8740
2,86,8800
2,8,8860
2,8,9720
2,8,9740
2,8,10220
2,8,10240
2,8,10260
2,8,10520
2,8,10540
2,8,10560
2,8,10580
2,8,11360
2,8,11380
2,8,11400
2,8,11440
2,8,11480
2,8,11500
2,8,11520
2,8,11560
2,8,12440
2,8,12640
2,8,12660
2,8,12680
2,8,12700
2,8,12720
2,8,12740
2,8,36320
2,47,37040
2,47,37060
2,47,37180
2,91,37760
2,30,38240
2,87,38880
2,30,40600
2,30,40620
2,30,40700
2,30,40740
2,30,40760
