step,prevalence
0.000000000000000000e+00,3.333333333333333547e-03
1.000000000000000000e+00,3.466666666666666941e-03
2.000000000000000000e+00,3.555555555555555726e-03
3.000000000000000000e+00,3.733333333333333295e-03
4.000000000000000000e+00,4.000000000000000083e-03
5.000000000000000000e+00,4.088888888888889302e-03
6.000000000000000000e+00,4.133333333333333477e-03
7.000000000000000000e+00,4.311111111111111914e-03
8.000000000000000000e+00,4.622222222222222877e-03
9.000000000000000000e+00,4.844444444444443755e-03
1.000000000000000000e+01,4.977777777777777149e-03
1.100000000000000000e+01,5.155555555555554718e-03
1.200000000000000000e+01,5.333333333333334023e-03
1.300000000000000000e+01,5.688888888888887427e-03
1.400000000000000000e+01,5.911111111111111774e-03
1.500000000000000000e+01,6.311111111111111088e-03
1.600000000000000000e+01,6.266666666666666913e-03
1.700000000000000000e+01,6.400000000000000307e-03
1.800000000000000000e+01,6.622222222222222052e-03
1.900000000000000000e+01,6.933333333333333015e-03
2.000000000000000000e+01,7.155555555555555627e-03
2.100000000000000000e+01,7.511111111111111634e-03
2.200000000000000000e+01,7.866666666666665905e-03
2.300000000000000000e+01,8.088888888888888518e-03
2.400000000000000000e+01,8.222222222222222779e-03
2.500000000000000000e+01,8.399999999999999481e-03
2.600000000000000000e+01,8.666666666666666269e-03
2.700000000000000000e+01,9.111111111111109759e-03
2.800000000000000000e+01,9.511111111111109073e-03
2.900000000000000000e+01,9.822222222222223506e-03
3.000000000000000000e+01,1.017777777777777691e-02
3.100000000000000000e+01,1.000000000000000021e-02
3.200000000000000000e+01,1.017777777777777864e-02
3.300000000000000000e+01,1.035555555555555535e-02
3.400000000000000000e+01,1.097777777777777727e-02
3.500000000000000000e+01,1.111111111111110980e-02
3.600000000000000000e+01,1.151111111111111432e-02
3.700000000000000000e+01,1.208888888888889034e-02
3.800000000000000000e+01,1.253333333333333383e-02
3.900000000000000000e+01,1.311111111111110811e-02
4.000000000000000000e+01,1.386666666666666603e-02
4.100000000000000000e+01,1.413333333333333455e-02
4.200000000000000000e+01,1.426666666666666881e-02
